gene	mean_BF	sum_BF	max_BF	n_snps	rank_BF	n	GeneScore
ANKRD13C	-13.051776	-52.207104	-13.051776	4	258	933	0.276527331189711
ANKRD13D	-13.051776	-13.051776	-13.051776	1	162	1564	0.103580562659847
ANKRD16	-13.051776	-52.207104	-13.051776	4	259	933	0.277599142550911
ANKRD17	-12.8240578822727	-564.25854682	-3.03217882	44	27	38	0.710526315789474
ANKRD22	-12.1907585014286	-85.33530951	-7.02465351	7	184	621	0.296296296296296
ANKRD24	-13.051776	-13.051776	-13.051776	1	163	1564	0.104219948849105
ANKRD27	-11.03850510625	-88.30804085	3.05439115	8	34	534	0.0636704119850187
ANKRD28	-12.0680544503409	-1061.98879163	5.42136985	88	2	7	0.285714285714286
ANKRD29	-9.648990648	-96.48990648	1.47886315	10	71	477	0.148846960167715
ANKRD31	-11.39743561375	-273.53845473	-4.00564152	24	68	127	0.535433070866142
ANKRD34C	-13.051776	-13.051776	-13.051776	1	164	1564	0.104859335038363
ANKRD37	-13.051776	-26.103552	-13.051776	2	214	1311	0.16323417238749
ANKRD40	-13.051776	-65.25888	-13.051776	5	289	817	0.353733170134639
ANKRD42	-6.75686775	-13.5137355	-0.4619595	2	46	1311	0.0350877192982456
ANKRD44	-11.9440162512308	-776.36105633	7.92897583	65	4	20	0.2
ANKRD46	-12.248159668	-183.72239502	-7.02465351	15	130	254	0.511811023622047
ANKRD50	-12.7647701671429	-268.06017351	-7.02465351	21	104	160	0.65
ANKRD54	-11.04273517	-33.12820551	-7.02465351	3	156	1069	0.145930776426567
ANKRD55	-10.249385866	-102.49385866	1.15261394	10	75	477	0.157232704402516
ANKRD6	-12.5486508661818	-690.17579764	0.80059496	55	9	21	0.428571428571429
ANKRD66	-13.051776	-78.310656	-13.051776	6	275	738	0.372628726287263
ANKS1A	-10.9406807165	-218.81361433	12.07264779	20	5	183	0.0273224043715847
ANKS1B	-11.7418729243607	-3581.27124193	19.46943271	300	4	36	0.111111111111111
ANKS3	-13.051776	-78.310656	-13.051776	6	276	738	0.373983739837398
ANKS4B	-13.051776	-65.25888	-13.051776	5	290	817	0.354957160342717
ANKS6	-11.6897288484375	-374.07132315	1.47886315	32	25	97	0.257731958762887
ANLN	-12.2050760205405	-451.58781276	9.22998876	37	2	55	0.0363636363636364
ANO1	-12.8353207525	-462.07154709	-5.25938709	36	44	62	0.709677419354839
ANO10	-12.3163213486567	-825.19353036	7.16881594	67	6	15	0.4
ANO3	-12.2650765335043	-1435.01395442	7.76998358	100	64	209	0.30622009569378
ANO4	-12.5495772035246	-1531.04841883	1.47886315	100	165	209	0.789473684210526
ANO5	-13.051776	-39.155328	-13.051776	3	236	1069	0.220767072029935
ANO6	-12.0425185992857	-505.78578117	3.27071798	42	9	32	0.28125
ANO9	-13.051776	-52.207104	-13.051776	4	260	933	0.278670953912111
ANOS1	-12.4716056055556	-1010.20005405	-0.97786491	81	10	13	0.769230769230769
ANP32A	-13.051776	-13.051776	-13.051776	1	165	1564	0.105498721227621
ANP32E	-10.038214755	-20.07642951	-7.02465351	2	128	1311	0.0976353928299008
ANTXR1	-12.1504612825	-145.80553539	-2.23599939	12	77	320	0.240625
ANTXR2	-11.9070543222581	-369.11868399	2.58796212	31	19	90	0.211111111111111
ANTXRL	-12.2698638410811	-453.98496212	2.82719788	37	18	55	0.327272727272727
ANXA10	-12.449063751	-248.98127502	-7.02465351	20	125	183	0.683060109289617
ANXA11	-11.493298218	-57.46649109	-5.25938709	5	145	817	0.177478580171359
ANXA13	-13.051776	-78.310656	-13.051776	6	277	738	0.375338753387534
